,User,Tweet,Id,TweetDate
0,divyamyneni333,"Name: Northeastern University
City: Boston
State: Massachusetts 
Courses: Information Systems, Engineering Management
Min_gre: 300
Min_gpa: 3
Min_cgpa: 7
Min_toefl: 80
Min_ielts: 6.5
Fall_deadline: 01/15
University_Link: https://t.co/uzYtrgyw7q
#NortheasternUniversity #neu #FYDU",1591251929807564800,2022-11-12 02:09:58+00:00
1,Sparkhed,"@NEU_CourseRepo Wow! Looks like such a Great course? Do you allow registrations from ITUS Univeristy? 

#NortheasternUniversity #neucourserepo",1591208662550605824,2022-11-11 23:18:03+00:00
2,JDOAAI,Students had an amazing time at both events! (2/2) #JDOAAI #CSLatNU #LikeAHusky #Northeastern #NortheasternUniversity https://t.co/5H08yrt2Lu,1591142923252310016,2022-11-11 18:56:49+00:00
3,msperfectwriter,"100% help in your assignment.
We deliver the best services in:
#Art
#Programming
#Econometrics
#English
#Environmental
#Researchprojects
#Essaypay
#NortheasternUniversity
#TrustCNN
#AssociatedPress
KINDLY DM https://t.co/Hmx9BwBc8M",1590155431686676480,2022-11-09 01:32:53+00:00
4,EugeneBuff,"Moving to Panel 2 - More Gain, Less Pain: Optimizing Healthcare in 2022. Evolve Ventures #healthcareinnovation #northeasternuniversity https://t.co/W63ZaqT88v",1590134284047847427,2022-11-09 00:08:51+00:00
5,EugeneBuff,Panel 1 at NEXTGEN Healthcare Forum by Evolve Ventures - Growth of Healthtech: Transforming Healthcare as we know it. #healthcareinnovation #northeasternuniversity https://t.co/h8xn64fbpw,1590127566375251970,2022-11-08 23:42:09+00:00
6,emma34writes,"Plagiarism free papers.
We deliver the best services in:
#English
#English
#Quizzes
#Strategic management
#Discussion posts
#Online class
#Anatomy class
#NortheasternUniversity
#FTT
#FTT
KINDLY DM https://t.co/EnWUlUHXmD",1590087364650598402,2022-11-08 21:02:24+00:00
7,NEU_CourseDB,"We can apply to join the Masters of Science in Information Systems program, Data Analytics Engineering program, and Software Engineering Systems in either the Fall or Spring semester.

#neucourserepo #Masters #NortheasternUniversity",1590003507863904256,2022-11-08 15:29:11+00:00
8,NEU_CourseDB,"Gregory D. Abowd joined Northeastern University as Dean of the College of Engineering 

#neucourserepo #professor #northeasternUniversity",1589873626710306816,2022-11-08 06:53:05+00:00
9,NEU_CourseDB,"Masters of Science in Information Systems at Northeastern University

Electives can be selected from the following subject codes:
1] CSYE (except CSYE 6220)
2] DAMG
3] INFO

#neucourserepo #NortheasternUniversity #Programs #electives",1589854114439376896,2022-11-08 05:35:33+00:00
10,msperfectwriter,"Securing you top grades is our top priority.
We deliver the best services in:
#Anatomy
#Politicalscience
#Environmental
#Quizzes
#Nursing
#Literaturereview
#Casestudy
#NortheasternUniversity
#HowardStern
#Kwan
KINDLY DM https://t.co/qHF1GzTnBX",1589770917865037824,2022-11-08 00:04:57+00:00
11,mxandristboy,"RT @seiu1021: The Northeastern University acquisition of Mills College has left workers, staff and adjunct faculty out of contract negotiat…",1589720413743218688,2022-11-07 20:44:16+00:00
12,NortheasternCOE,"The Northeastern Robotics Team and their robot, Robalto, won $1M for their third-place finish at the ANA Avatar XPrize global competition this weekend. Congrats, Huskies!🐾

#nucoe #engineering #northeasternuniversity #nuexperience

https://t.co/g9praKRrU0 https://t.co/VrHorP9ff3",1589695652950335488,2022-11-07 19:05:53+00:00
