,User,Tweet,Id,TweetDate
0,JuliaEssays1,#FAMU #TAMU #HBCU #UCLA #NCAT #PVAMU #GramFam #TxSu #XULA #AUM #CSU #NSU #VSU #TSU #GSU #FSU #WSU #FIU #MSU #ASU #LSU #WSSU #AAMU #NCCU  #UCF #NYU #FVSU #UNCP #TWU #UNT #UMD #PSU #UMUC #BGSU #ACU #UMHB #SSU #TTU #BSU #USM #ASUTwitter #JCSU #KFUPM #GUST #UWG #Umiami #SPELLMAN #CAU,1591307971891716096,2022-11-12 05:52:40+00:00
1,LaughOutNOW,"Free Indy Film: Are you in recovery? Are you afraid to be in recovery? PTSD, Anxiety, depression? How about a dose of comedy to heal your pain? https://t.co/gvfEFZPfl5 #nashville #mke #cowboys #tarheels #cats #usc #nyc #nyu #cta #mta #japan #hongkong #china #australia #sydney",1591293460383862784,2022-11-12 04:55:00+00:00
2,Maryamacademics,For assignment help ; DM +1 215-406-1772 #ecsu #gramfam #msu #utrgro #clemsonuniversity #tsu #wvu #ssu #jsu #aamu #pvamu #txsu22 #fvsu #plnu #usm #tsu #bsu #nccu #ucd #ksu #umbc #myasu #nsu #famu #utsa #msu #twu #usc #uncg #nyu #flu #gsu #spelmancollege #osu #svsu #LSU,1591292218903384064,2022-11-12 04:50:04+00:00
3,Maryamacademics,For assignment help #Hmu￼ #ecsu #gramfam #msu #utrgro #clemsonuniversity #tsu #wvu #ssu #jsu #aamu #pvamu #txsu22 #fvsu #plnu #usm #tsu #bsu #nccu #ucd #ksu #umbc #myasu #nsu #famu #utsa #msu #twu #usc #uncg #nyu #flu #gsu #spelmancollege #osu #auburnuniversity #svsu #LSU,1591288012541136896,2022-11-12 04:33:21+00:00
4,Maryamacademics,"For assignment help, kindly Hmu￼ #ecsu #gramfam #msu #utrgro #clemsonuniversity #tsu #wvu #ssu #jsu #aamu #pvamu #txsu22 #fvsu #plnu #usm #tsu #bsu #nccu #ucd #ksu #umbc #myasu #nsu #famu #utsa #msu #twu #usc #uncg #nyu #flu #gsu #spelmancollege #osu #auburnuniversity #svsu",1591287392693940224,2022-11-12 04:30:53+00:00
5,CollgeEssays,"RT @AI_socrates: Get online class homework, assignment and exam expert help with 
Finance 
Economics 

#essays #umd #ksu #uiuc #txsu #alcor…",1591276291403444224,2022-11-12 03:46:47+00:00
6,GramfamPlug,"RT @AI_socrates: Get online class homework, assignment and exam expert help with 
Finance 
Economics 

#essays #umd #ksu #uiuc #txsu #alcor…",1591276092174000129,2022-11-12 03:45:59+00:00
7,AI_socrates,"RT @AI_socrates: Get online class homework, assignment and exam expert help with 
Finance 
Economics 

#essays #umd #ksu #uiuc #txsu #alcor…",1591271939514851329,2022-11-12 03:29:29+00:00
8,WriterPalace,"Need help with your 
✓essay, 
✓assignments, or 
✓homework? 
Kindly, DM or WhatsApp +1(913)3862072
#GramFam #ASUTwitter #NCAT #PVAMU #WSSU #HBCU #AAMU #nccu #FAMU #SSU #Springsemester #FSU #JSU #TAMU #NYU #UNCP #TWU #GSU #FVSU https://t.co/zVyrrAn4vZ",1591262315948621824,2022-11-12 02:51:15+00:00
9,AI_socrates,"Get online class homework, assignment and exam expert help with 
Finance 
Economics 

#essays #umd #ksu #uiuc #txsu #alcorn #tsu #gramfam #nyu #fiu #NCAT #pvamu #ssu #fvsu #jsu #uwg #wu #osu #fvsu #ssu #gatech #aamu #troyu #csu #csula #csuirvene #famu 
#USA #California  #NewYork https://t.co/RW2cYQrvM3",1591261152209645568,2022-11-12 02:46:37+00:00
